Kanji,Frequency倡,55
毯,98
鼕,10
紺,852
嫌,2698
吉,9023
礎,2413
型,11419
両,12893
屬,5
騎,1555
袗,4
鏘,36
懆,3
廡,2
溲,39
立,64858
郭,2146
酖,34
襲,2906
簑,20
桀,46
鱮,6
檳,139
柚,170
全,24783
梱,96
艷,3
俟,81
堅,3348
押,8576
睦,371
鳴,8633
迴,2
捉,419
億,759
珈,45
與,14
薩,3488
芯,627
渉,2112
架,1445
患,2785
胼,67
碗,888
吻,354
隸,3
為,10785
亡,3737
賑,236
豬,14
濰,2
洒,1535
鋒,329
罰,2338
蜃,90
獸,4
皴,65
潭,75
沮,79
串,651
克,470
釡,3
均,2758
霑,33
會,6
莵,4
性,51833
罟,7
懾,41
緬,617
廏,4
最,20590
啗,8
社,32670
雋,6
本,83797
饒,158
恂,18
丿,61
姦,570
晤,13
汪,62
梯,668
丱,25
撤,514
朶,187
犂,144
爻,49
遂,1403
果,16535
蟯,30
廣,7
閹,19
焦,1364
鐚,43
巨,1860
齣,91
嚏,30
魳,7
脆,120
醫,8
祺,17
昭,3716
彷,96
釧,159
腎,1328
疚,22
魔,2635
冰,15
求,7268
魑,58
柾,110
靠,42
枚,4858
濟,4
堤,1139
樛,7
劭,19
戌,176
孔,3365
亶,9
盞,162
濁,1720
旬,885
滄,156
木,48052
袿,163
慾,199
顧,1496
耘,73
昵,78
史,12423
昜,7
稘,2
濶,20
頂,3922
賜,1553
靹,3
淀,735
靡,270
呟,29
消,11151
捗,70
外,37486
熹,174
纓,162
曽,39
兌,187
勘,2942
詭,137
繪,4
訟,2438
宝,6427
灯,5858
遥,927
礫,452
鉗,131
殤,17
急,8773
介,4421
縉,22
跋,275
吋,8
殄,20
尭,219
品,30150
孥,19
河,11712
到,1770
肉,10521
攙,2
巻,15215
螳,36
健,3722
斐,688
惓,3
恪,81
呎,25
雌,3517
幽,1232
皶,4
胴,2444
朔,833
聴,2339
鸛,46
轣,10
蜜,1048
蠱,61
簾,1029
暼,3
咢,8
蠻,4
馗,54
蹈,42
痹,3
責,4051
蹴,1048
泰,817
蒜,147
葱,938
肢,1400
滕,53
鵠,133
唱,4710
賎,17
菌,5384
鮑,297
洳,7
偬,17
兒,7
瓏,26
瓰,2
蔔,88
梂,2
呑,1014
催,2720
息,7125
贋,226
齷,30
杙,216
逢,1293
螺,1212
逞,59
懊,22
疂,3
建,17042
孛,7
匆,37
畋,9
禝,2
擡,43
蹠,87
届,1863
籟,102
甑,105
贍,52
鯥,6
